Iteration	Posterior	Likelihood	Prior	br_lengths[1]	br_lengths[2]	br_lengths[3]	br_lengths[4]	br_lengths[5]	br_lengths[6]	br_lengths[7]	br_lengths[8]	br_lengths[9]	br_lengths[10]	br_lengths[11]	br_lengths[12]	br_lengths[13]	br_lengths[14]	br_lengths[15]	br_lengths[16]	br_lengths[17]	br_lengths[18]	br_lengths[19]	br_lengths[20]	br_lengths[21]	br_lengths[22]	br_lengths[23]	br_lengths[24]	br_lengths[25]	br_lengths[26]	br_lengths[27]	br_lengths[28]	br_lengths[29]	partition_rate[1]	partition_rate[2]	rate01	rate10	rate_categories[1]	rate_categories[2]	rate_categories[3]	rate_categories[4]	rate_categories[5]	rate_categories[6]	rate_log_sd	rate_loss	rate_neo	rel_br_lengths[1]	rel_br_lengths[2]	rel_br_lengths[3]	rel_br_lengths[4]	rel_br_lengths[5]	rel_br_lengths[6]	rel_br_lengths[7]	rel_br_lengths[8]	rel_br_lengths[9]	rel_br_lengths[10]	rel_br_lengths[11]	rel_br_lengths[12]	rel_br_lengths[13]	rel_br_lengths[14]	rel_br_lengths[15]	rel_br_lengths[16]	rel_br_lengths[17]	rel_br_lengths[18]	rel_br_lengths[19]	rel_br_lengths[20]	rel_br_lengths[21]	rel_br_lengths[22]	rel_br_lengths[23]	rel_br_lengths[24]	rel_br_lengths[25]	rel_br_lengths[26]	rel_br_lengths[27]	rel_br_lengths[28]	rel_br_lengths[29]	root_freqs[1]	root_freqs[2]	rtfq1	tree_length
0	-526.8041	-554.8013	27.99718	0.0305407	0.102156	0.116373	0.00100446	0.0765453	0.0041343	0.0995442	0.0012647	0.0106345	0.0225511	0.00839737	0.108016	0.170635	0.246186	0.0176386	0.198793	0.019974	0.0214773	0.0670962	0.0261833	0.0380823	0.117991	0.0611409	0.0879658	0.0318201	0.248727	0.0344814	0.032493	0.0416799	0.293607	1.28256	0.3626777	1.637322	0.113588	0.346166	0.718233	1.39231	2.88879	8.80371	1.5728	4.514539	0.09156916	0.0149451	0.0499899	0.0569471	0.000491531	0.0374575	0.00202312	0.048712	0.00061888	0.00520401	0.0110354	0.00410926	0.0528577	0.0835002	0.120471	0.00863146	0.0972794	0.0097743	0.0105099	0.0328336	0.0128128	0.0186356	0.057739	0.0299193	0.0430461	0.0155712	0.121715	0.0168735	0.0159005	0.0203961	0.803427	0.196573	0.8034268	2.043526
36	-542.9861	-569.3613	26.37524	0.0733729	0.13367	0.368522	0.0322858	0.131389	0.00903899	0.115606	0.0626946	0.0031686	0.0125895	0.105987	0.106461	0.0621211	0.13794	0.0187816	0.237796	0.112555	0.149401	0.0730223	0.138674	0.0128729	0.00895739	0.174005	0.0423734	0.134132	0.000655144	0.0483842	0.229567	0.0299525	1.5915	0.763399	0.7228387	1.277161	0.0907129	0.310208	0.694073	1.44077	3.22365	11.0238	1.735405	1.766869	0.8339039	0.0265269	0.0483265	0.133234	0.0116725	0.0475018	0.00326792	0.0417956	0.0226664	0.00114556	0.00455157	0.0383182	0.0384896	0.022459	0.0498702	0.00679023	0.0859719	0.0406928	0.0540137	0.0264002	0.0501358	0.00465403	0.00323842	0.0629091	0.0153195	0.0484936	0.000236858	0.0174926	0.0829966	0.0108289	0.24474	0.75526	0.2447397	2.765978
72	-545.3623	-570.2762	24.91387	0.0199492	0.127527	0.121793	0.0208628	0.0898675	0.0414459	0.293499	0.015599	0.0144688	0.169082	0.255029	0.215729	0.124928	0.124809	0.0843967	0.172627	0.0702156	0.055075	0.0560746	0.0450369	0.190986	0.003316	0.077112	0.149029	0.190385	0.250546	0.0358756	0.0676704	0.0849904	1.32455	0.870179	0.233793	1.766207	0.290885	0.54759	0.828711	1.20669	1.82618	3.43779	0.8928661	7.554574	0.6088637	0.00629724	0.0402556	0.0384458	0.00658564	0.028368	0.013083	0.092647	0.00492406	0.00456727	0.0533731	0.0805034	0.0680978	0.0394353	0.0393978	0.026641	0.0544921	0.0221646	0.0173852	0.0177007	0.0142165	0.0602873	0.00104674	0.0243415	0.0470431	0.0600976	0.0790884	0.0113246	0.0213611	0.0268284	0.374547	0.625453	0.3745467	3.167923
108	-529.8605	-555.6575	25.79704	0.0172173	0.000333766	0.249751	0.051067	0.142617	0.00810201	0.112188	0.0236597	0.0665008	0.045014	0.207726	0.112505	0.0893312	0.0237168	0.0379286	0.0734923	0.0823948	0.0897752	0.0271784	0.0853261	0.0223743	0.0136325	0.075251	0.0369576	0.0445617	0.0717025	0.0651067	0.224704	0.0397185	0.43342	1.22663	0.1298195	1.87018	0.100362	0.325884	0.704831	1.41878	3.06857	9.96389	1.662312	14.406	0.1413365	0.0080461	0.000155977	0.116715	0.0238649	0.0666488	0.00378628	0.0524285	0.0110568	0.0310776	0.0210362	0.0970756	0.0525764	0.0417468	0.0110835	0.017725	0.0343448	0.0385052	0.0419543	0.0127012	0.0398751	0.0104561	0.00637084	0.0351668	0.0172713	0.0208248	0.0335084	0.030426	0.10501	0.0185615	0.243576	0.756424	0.2435759	2.139834
144	-536.8267	-564.1843	27.35765	0.0236228	0.0493154	0.0718778	0.00728292	0.11675	0.0170592	0.107339	0.047038	0.0133025	0.0033244	0.105593	0.124733	0.0939544	0.0254008	0.0269651	0.10428	0.0231255	0.0010166	0.0756049	0.0655799	0.0314524	0.00931657	0.0286033	0.0417712	0.0141894	0.0660106	0.0305851	0.0346692	0.0462312	1.24326	0.902696	0.2832904	1.71671	0.113587	0.346163	0.718231	1.39231	2.88881	8.80384	1.57281	6.059893	0.5509097	0.0168015	0.0350751	0.0511224	0.00517991	0.0830371	0.0121332	0.0763441	0.0334553	0.00946125	0.00236445	0.075102	0.0887151	0.0668242	0.0180661	0.0191786	0.0741682	0.0164478	0.000723044	0.0537733	0.0466431	0.0223702	0.00662632	0.0203438	0.0297093	0.0100921	0.0469494	0.0217534	0.0246582	0.0328815	0.176489	0.823511	0.1764895	1.405994
180	-523.6826	-549.2633	25.58067	0.0962013	0.116544	0.23308	0.0143301	0.104966	0.015556	0.335253	0.00676027	0.0419284	0.0268385	0.277133	0.129671	0.119546	0.531051	0.0618636	0.13585	0.187716	0.0869518	0.0381214	0.0661408	0.0457879	0.116852	0.0439964	0.0541096	0.00391098	0.0941898	0.297245	0.0364424	0.0289782	0.519515	1.19219	0.2413134	1.758687	0.297386	0.553525	0.831503	1.20264	1.8066	3.36263	0.876882	7.287978	0.1743055	0.0287424	0.0348203	0.0696381	0.00428147	0.031361	0.00464772	0.100165	0.00201979	0.0125271	0.00801865	0.0828	0.0387424	0.0357171	0.158664	0.0184832	0.0405884	0.0560846	0.0259789	0.0113897	0.0197611	0.0136802	0.0349124	0.013145	0.0161665	0.0011685	0.0281414	0.088809	0.010888	0.00865793	0.477879	0.522121	0.4778791	3.347013
216	-534.3333	-560.143	25.8097	0.0610579	0.0736982	0.209548	0.10426	0.0862488	0.0678949	0.111343	0.0270622	0.0774829	0.0504831	0.230035	0.0475718	0.202255	0.523187	0.0247559	0.143687	0.105032	0.00729502	0.0373252	0.144131	0.0608437	0.137158	0.018751	0.0491203	0.0252682	0.0281919	0.0110218	0.225497	0.0644735	0.674827	1.13007	0.2571034	1.742897	0.183585	0.437493	0.772662	1.29423	2.28575	5.44708	1.225659	6.77897	0.2388622	0.0206648	0.0249429	0.0709206	0.0352862	0.0291906	0.0229788	0.0376837	0.0091591	0.0262238	0.0170858	0.0778546	0.0161005	0.0684525	0.177071	0.00837854	0.0486302	0.0355477	0.00246897	0.0126326	0.0487806	0.0205923	0.0464207	0.00634621	0.0166246	0.00855193	0.00954144	0.0037303	0.0763187	0.0218208	0.165266	0.834734	0.1652663	2.95468
252	-525.5362	-553.5833	28.04715	0.0112769	0.0454472	0.0701935	0.0170911	0.0979149	0.0128226	0.131995	0.00549971	0.0260858	0.0181707	0.0740843	0.0724731	0.0644994	0.0888014	0.0179171	0.0954831	0.0137225	0.00100455	0.0874607	0.161225	0.11006	0.050087	0.0673904	0.107165	0.0597071	0.0199529	0.0165672	0.0369427	0.0333205	0.607998	1.1568	0.3314269	1.668573	0.11354	0.346093	0.718186	1.3924	2.88939	8.80749	1.57311	5.034513	0.2102341	0.00698538	0.0281518	0.0434806	0.0105869	0.0606524	0.00794283	0.0817629	0.00340674	0.0161586	0.0112557	0.0458908	0.0448927	0.0399535	0.0550071	0.0110986	0.059146	0.00850028	0.000622259	0.0541766	0.0998691	0.0681756	0.0310259	0.0417443	0.0663824	0.036985	0.0123596	0.0102624	0.0228838	0.02064	0.530804	0.469196	0.5308044	1.614361
288	-529.5246	-556.9924	27.4678	0.00329292	0.027912	0.205932	0.0320474	0.11958	0.0203746	0.182595	0.0570707	0.014579	0.0301488	0.212971	0.00463031	0.166852	0.234542	0.0357194	0.163852	0.0351066	0.0225173	0.0342406	0.0586222	0.0667062	0.0677031	0.120046	0.0210299	0.0766069	0.0206376	0.0145381	0.161747	0.0415479	0.753373	1.09865	0.3299822	1.670018	0.240694	0.499274	0.80517	1.24197	2.00291	4.15465	1.029814	5.060933	0.2742903	0.00146148	0.012388	0.0913975	0.0142234	0.0530723	0.00904274	0.0810398	0.0253293	0.00647048	0.0133808	0.0945215	0.00205504	0.0740528	0.104095	0.0158531	0.0727215	0.0155811	0.00999373	0.0151968	0.0260179	0.0296058	0.0300482	0.0532791	0.00933357	0.0339999	0.00915947	0.00645234	0.0717871	0.0184399	0.560073	0.439927	0.5600729	2.253147
324	-521.601	-549.9514	28.35043	0.0146808	0.0190601	0.0637901	0.0192907	0.0965376	0.010142	0.154199	0.00950913	0.0213912	0.0136184	0.0932734	0.0793757	0.049132	0.143756	0.00660313	0.108156	0.0168738	0.0156073	0.0940358	0.0488757	0.0866397	0.0276415	0.085639	0.0620559	0.0160159	0.00036432	0.00626437	0.035458	0.0214245	0.428062	1.22878	0.3070985	1.692902	0.1046	0.332524	0.70928	1.40988	3.0073	9.56023	1.632409	5.512569	0.1393459	0.0103429	0.0134282	0.0449412	0.0135907	0.0680124	0.00714519	0.108636	0.00669935	0.0150705	0.00959443	0.0657127	0.0559216	0.0346143	0.101279	0.00465202	0.0761976	0.0118879	0.0109956	0.0662498	0.0344338	0.0610391	0.0194739	0.0603342	0.0437194	0.0112835	0.00025667	0.00441336	0.0249808	0.0150939	0.622268	0.377732	0.6222685	1.419411
