Iteration	Posterior	Likelihood	Prior	rate_log_sd	rate_loss	rate_neo	root_freqs[1]	root_freqs[2]	tree_length
0	-524.8442	-550.8476	26.00334	1.071008	5.289987	0.1954806	0.0204358	0.979564	3.219408
6	-528.3628	-552.507	24.1442	0.8135586	5.289987	0.1954806	0.564589	0.435411	4.43823
12	-530.0714	-554.471	24.39961	0.7997799	4.870985	0.2187679	0.310414	0.689586	4.328857
18	-526.4828	-553.3917	26.90881	0.7973218	5.109083	0.2187679	0.310414	0.689586	2.829418
24	-522.1002	-548.1257	26.02555	0.8941623	6.327667	0.2187679	0.25222	0.74778	3.117717
30	-522.8331	-549.4273	26.59428	1.157616	8.660615	0.2486423	0.428452	0.571548	2.265883
36	-526.8409	-553.4336	26.59264	1.307907	9.022657	0.2486423	0.302146	0.697854	2.128699
42	-528.305	-552.2928	23.98787	1.096075	9.698707	0.2436803	0.441198	0.558802	3.773465
48	-525.6698	-551.3034	25.63359	0.8686999	6.822729	0.2436803	0.594305	0.405695	3.259039
54	-526.516	-553.8801	27.36409	1.291892	6.822729	0.09936359	0.594305	0.405695	2.233085
60	-528.4948	-555.7068	27.21191	1.312617	7.162063	0.09936359	0.229886	0.770114	2.271212
66	-526.0595	-548.3709	22.3114	0.6481424	7.483293	0.09936359	0.589139	0.410861	5.459358
72	-530.0902	-552.357	22.26687	0.6395939	8.516535	0.0677788	0.501745	0.498255	5.459358
78	-528.0639	-550.8807	22.81683	0.5739928	8.516535	0.0972617	0.47532	0.52468	5.117639
84	-523.243	-546.1143	22.87123	0.4505635	8.906651	0.0972617	0.471067	0.528933	5.117639
90	-526.3176	-551.5302	25.21255	0.9890402	11.60169	0.0972617	0.731178	0.268822	3.240444
96	-531.8288	-556.5076	24.67875	1.240456	45.85771	0.06907383	0.757323	0.242677	1.97073
102	-533.92	-557.7867	23.86669	1.559247	45.85771	0.06907383	0.454202	0.545798	2.293113
108	-529.1484	-553.1196	23.97123	1.173942	45.85771	0.117188	0.526939	0.473061	2.338021
114	-525.8475	-552.0707	26.22325	1.151612	12.70409	0.09356231	0.764769	0.235231	2.447843
120	-524.8039	-549.3405	24.53664	0.5666334	9.983086	0.09356231	0.484743	0.515257	4.025876
126	-522.1874	-547.7055	25.51817	0.7835895	9.983086	0.1210222	0.765093	0.234907	3.265344
132	-523.3262	-548.7202	25.39407	1.054475	17.64164	0.06529085	0.599013	0.400987	2.761259
138	-526.3039	-551.3935	25.08957	1.093773	17.64164	0.1725315	0.685889	0.314111	2.662183
144	-522.2332	-547.8107	25.57755	0.9369007	10.26888	0.1491766	0.796876	0.203124	3.050603
150	-523.5565	-548.9115	25.35498	0.7675521	7.671545	0.1491766	0.0870437	0.912956	3.54738
156	-528.5417	-553.4456	24.90399	1.000074	8.048304	0.1491766	0.0858321	0.914168	3.632084
162	-525.2227	-550.9834	25.7607	0.9463243	8.048304	0.1527914	0.0626155	0.937385	3.153674
168	-530.8752	-558.7054	27.83018	1.280479	11.20513	0.06463788	0.658025	0.341975	1.505397
174	-530.7716	-558.1652	27.3936	1.32189	15.45647	0.06463788	0.546443	0.453557	1.40348
