Iteration	Posterior	Likelihood	Prior	br_lengths[1]	br_lengths[2]	br_lengths[3]	br_lengths[4]	br_lengths[5]	br_lengths[6]	br_lengths[7]	br_lengths[8]	br_lengths[9]	br_lengths[10]	br_lengths[11]	br_lengths[12]	br_lengths[13]	br_lengths[14]	br_lengths[15]	br_lengths[16]	br_lengths[17]	br_lengths[18]	br_lengths[19]	br_lengths[20]	br_lengths[21]	br_lengths[22]	br_lengths[23]	br_lengths[24]	br_lengths[25]	br_lengths[26]	br_lengths[27]	br_lengths[28]	br_lengths[29]	partition_rate[1]	partition_rate[2]	rate01	rate10	rate_categories[1]	rate_categories[2]	rate_categories[3]	rate_categories[4]	rate_categories[5]	rate_categories[6]	rate_log_sd	rate_loss	rate_neo	rel_br_lengths[1]	rel_br_lengths[2]	rel_br_lengths[3]	rel_br_lengths[4]	rel_br_lengths[5]	rel_br_lengths[6]	rel_br_lengths[7]	rel_br_lengths[8]	rel_br_lengths[9]	rel_br_lengths[10]	rel_br_lengths[11]	rel_br_lengths[12]	rel_br_lengths[13]	rel_br_lengths[14]	rel_br_lengths[15]	rel_br_lengths[16]	rel_br_lengths[17]	rel_br_lengths[18]	rel_br_lengths[19]	rel_br_lengths[20]	rel_br_lengths[21]	rel_br_lengths[22]	rel_br_lengths[23]	rel_br_lengths[24]	rel_br_lengths[25]	rel_br_lengths[26]	rel_br_lengths[27]	rel_br_lengths[28]	rel_br_lengths[29]	root_freqs[1]	root_freqs[2]	rtfq1	tree_length
360	-528.1057	-554.7367	26.631	0.0482164	0.00868978	0.091193	0.0591241	0.104874	0.0374253	0.175799	0.0279413	0.0151431	0.142466	0.228401	0.0245365	0.1404	0.167846	0.00171888	0.140326	0.0446345	0.0666566	0.0253704	0.146829	0.0908458	0.0035563	0.0636845	0.0353689	0.0898397	0.0465788	0.0331094	0.0396373	0.0215509	0.512794	1.19488	0.3206401	1.67936	0.0409449	0.210458	0.614951	1.62615	4.75153	24.4231	2.310587	5.237523	0.1716633	0.0227247	0.00409555	0.0429799	0.0278656	0.0494279	0.0176388	0.082855	0.0131689	0.00713703	0.0671452	0.107647	0.0115642	0.0661716	0.0791069	0.00081012	0.0661365	0.0210365	0.0314157	0.0119572	0.0692012	0.0428162	0.0016761	0.0300149	0.0166696	0.042342	0.0219529	0.0156046	0.0186813	0.0101571	0.27267	0.72733	0.2726696	2.121762
396	-529.3586	-557.458	28.09943	0.0211372	0.0100489	0.0718011	0.00770096	0.0609856	0.0327979	0.135884	0.00233365	0.00510244	0.0520292	0.0217463	0.055241	0.0531926	0.17434	0.0116342	0.163123	0.0526376	0.0511231	0.0339472	0.112886	0.00818534	0.00515275	0.00474705	0.00593882	0.0248611	0.0946526	0.0153686	0.0179934	0.0795282	0.379481	1.24821	0.2782922	1.721708	0.0799479	0.291673	0.680859	1.46873	3.4285	12.5081	1.826747	6.18669	0.1216083	0.0152492	0.00724968	0.0518	0.00555577	0.0439974	0.0236617	0.0980318	0.00168359	0.0036811	0.0375359	0.0156886	0.039853	0.0383752	0.125776	0.00839339	0.117683	0.0379748	0.0368822	0.0244908	0.0814406	0.00590522	0.00371739	0.00342471	0.00428449	0.0179358	0.068286	0.0110875	0.0129811	0.0573747	0.395795	0.604205	0.3957948	1.38612
432	-528.3146	-554.9357	26.62111	0.0324573	0.0283763	0.0781499	0.0594067	0.22522	0.0089334	0.314993	0.027842	0.0486358	0.169822	0.30386	0.102454	0.0555356	0.373131	0.0432377	0.190707	0.0500608	0.24596	0.00135297	0.0578652	0.052153	0.0314383	0.0419231	0.00816431	0.114383	0.0726843	0.0489975	0.0212195	0.0161191	0.368373	1.25265	0.308991	1.691009	0.158609	0.407379	0.75566	1.32335	2.45472	6.3048	1.331395	5.47268	0.11763	0.011489	0.0100444	0.0276629	0.0210283	0.0797217	0.00316217	0.111499	0.00985528	0.0172157	0.0601122	0.107558	0.0362659	0.0196581	0.132078	0.0153049	0.0675049	0.0177201	0.0870629	0.000478912	0.0204827	0.0184607	0.0111283	0.0148396	0.00288994	0.0404882	0.0257282	0.0173438	0.00751111	0.0057057	0.336552	0.663448	0.3365515	2.825081
468	-532.7149	-561.6552	28.94031	0.00698859	0.0363386	0.036584	0.00787846	0.0549326	0.00722256	0.0493824	0.0137879	0.0142645	0.017998	0.0567226	0.0547907	0.0358396	0.0773941	0.0078032	0.0508565	0.0363828	0.0158642	0.00145636	0.0291707	0.0141922	0.0246171	0.0114233	0.0157583	0.0732357	0.0375308	0.0102935	0.00554861	0.00202932	1.27503	0.889988	0.7351938	1.264806	0.0459057	0.22253	0.625745	1.5981	4.49377	21.7838	2.227896	1.720371	0.5730556	0.00866762	0.0450691	0.0453734	0.00977127	0.0681302	0.0089578	0.0612467	0.0171005	0.0176916	0.0223221	0.0703504	0.0679543	0.0444502	0.0959883	0.00967794	0.0630749	0.0451238	0.0196756	0.00180626	0.036179	0.0176019	0.0305314	0.0141678	0.0195443	0.0908307	0.0465476	0.0127666	0.00688168	0.00251687	0.467085	0.532915	0.4670855	0.8062875
504	-542.4617	-569.7962	27.33457	0.0103345	0.0769635	0.0253385	0.0217672	0.0063622	0.0110579	0.149483	0.0280952	0.0617858	0.0291143	0.129068	0.0590147	0.0948165	0.119837	0.0563395	0.126511	0.178404	0.0106949	0.0764039	0.0675662	0.123084	0.0608774	0.132497	0.0150779	0.0734815	0.0687811	0.0145504	0.0229079	0.00280658	1.87748	0.649009	0.8476715	1.152328	0.0499966	0.23199	0.633926	1.57747	4.31053	20.0014	2.166171	1.359404	1.157136	0.00557712	0.041534	0.0136742	0.0117469	0.00343342	0.0059675	0.08067	0.0151618	0.0333433	0.0157118	0.0696529	0.0318478	0.0511686	0.0646709	0.0304041	0.0682726	0.0962775	0.00577159	0.041232	0.0364627	0.0664236	0.032853	0.0715033	0.00813691	0.0396549	0.0371183	0.00785226	0.0123624	0.0015146	0.282997	0.717003	0.2829973	1.853022
540	-536.5219	-566.0522	29.53026	0.00881511	0.0408379	0.00115767	0.0114277	0.0188853	0.00708324	0.0103692	0.0101752	0.0023673	1.06662e-05	0.0176484	0.0348743	0.00568321	0.032374	0.00191061	0.0700285	0.011987	0.00331347	0.00978183	0.000515274	0.0248266	0.00233664	0.0115473	0.00554706	0.00302308	0.0247475	0.00718113	0.0184848	0.014808	0.858475	1.05661	0.9348309	1.065169	0.0256164	0.167429	0.572597	1.74643	5.97268	39.0375	2.649702	1.139424	0.3249923	0.021409	0.0991818	0.0028116	0.0277541	0.0458662	0.0172029	0.0251834	0.0247121	0.00574939	2.59047e-05	0.0428622	0.0846981	0.0138027	0.0786257	0.00464024	0.170076	0.0291124	0.00804733	0.0237568	0.00125143	0.0602956	0.00567494	0.0280446	0.013472	0.00734206	0.0601036	0.0174406	0.0448934	0.0359638	0.731155	0.268845	0.7311547	0.411748
576	-532.4687	-559.4795	27.01078	0.02229	0.0271199	0.0880532	0.0231178	0.122033	0.0377609	0.11513	0.00439857	0.0407837	0.0888267	0.077128	0.0108915	0.0226325	0.124919	0.0151777	0.0622044	0.175311	0.0281909	0.0113491	0.078537	0.0580516	0.00523585	0.0264315	0.00966892	0.0279398	0.0351032	0.00220312	0.0251788	0.0368216	1.52201	0.791198	0.4218064	1.578194	0.0417652	0.212504	0.61681	1.62125	4.70579	23.9434	2.296245	3.741512	0.769469	0.0158932	0.019337	0.0627835	0.0164834	0.0870114	0.0269242	0.0820901	0.00313626	0.0290795	0.0633351	0.0549937	0.00776584	0.0161374	0.0890696	0.0108219	0.0443529	0.125	0.0201006	0.00809211	0.0559983	0.0413918	0.00373326	0.0188462	0.00689411	0.0199216	0.0250292	0.00157086	0.0179529	0.0262545	0.329284	0.670716	0.3292839	1.402489
612	-531.2693	-559.6401	28.37085	0.00429025	0.119139	0.090674	0.0173251	0.0760953	0.016948	0.139438	0.00894823	0.0346298	0.032527	0.181214	0.0219783	0.143735	0.0337458	0.0423601	0.0994865	0.0770343	0.121748	0.0400187	0.173187	0.0459546	0.0701518	0.0104547	0.0254852	0.0235866	0.029784	0.000514052	0.114947	0.000871267	0.910018	1.03599	0.6226313	1.377369	0.0931623	0.314265	0.696892	1.43494	3.18203	10.734	1.71614	2.212174	0.3513609	0.00238842	0.0663255	0.0504791	0.00964505	0.042363	0.00943512	0.0776263	0.00498156	0.0192787	0.0181081	0.100883	0.0122355	0.0800183	0.0187866	0.0235823	0.055385	0.0428857	0.067778	0.0222788	0.0964146	0.0255833	0.0390541	0.00582025	0.0141878	0.0131309	0.016581	0.000286177	0.0639921	0.000485042	0.469535	0.530465	0.4695351	1.79627
648	-546.9617	-575.2277	28.26608	0.00180952	0.00232319	0.0042811	0.000992258	0.0103993	0.00197573	0.00944286	0.00315202	0.00279899	0.000718125	3.0122e-05	0.00303223	0.0360073	0.00574986	0.00107032	0.00859175	0.00320924	0.00192447	0.00298517	0.00107768	0.0027975	0.00444858	0.00177113	0.012274	0.0058772	0.00754352	0.000604725	0.00176122	0.00290568	1.04251	0.982996	0.9407905	1.05921	0.0119934	0.115637	0.510156	1.96018	8.64778	83.3791	3.198421	1.125872	0.4242176	0.0127832	0.016412	0.0302434	0.00700971	0.073465	0.0139574	0.0667081	0.0222671	0.0197732	0.00507312	0.000212794	0.0214209	0.25437	0.0406193	0.00756119	0.0606956	0.0226713	0.0135952	0.0210884	0.00761316	0.0197627	0.0314266	0.012512	0.0867084	0.0415189	0.0532905	0.00427202	0.012442	0.0205269	0.569075	0.430925	0.5690755	0.1415548
684	-528.5334	-554.3524	25.81895	0.0262921	0.014719	0.0948648	0.0130127	0.0700684	0.0139096	0.228668	0.00493959	0.0258834	0.0470129	0.0963893	0.0538148	0.100761	0.124673	0.0203683	0.169745	0.033469	0.0108994	0.111316	0.0970953	0.0300663	0.0606022	0.00589056	0.0383703	0.0033871	0.0204304	0.0278931	0.0432076	0.0117969	0.758368	1.09665	0.0951638	1.904836	0.131159	0.371319	0.734123	1.36217	2.6931	7.62436	1.468805	20.0164	0.2766119	0.0164372	0.00920201	0.0593073	0.00813528	0.0438052	0.00869599	0.142958	0.00308812	0.0161817	0.0293914	0.0602605	0.0336438	0.0629937	0.0779428	0.0127338	0.106121	0.0209241	0.00681405	0.0695921	0.0607018	0.0187968	0.0378871	0.00368264	0.0239882	0.00211754	0.0127726	0.0174381	0.0270124	0.00737519	0.199836	0.800164	0.1998359	1.599545
